schema,study_id,schedule_id,block_id,block_index,order_position,backend,world_id,site_family,world_split,world_bundle,world_sdf,world_name,start_id,start_x_m,start_y_m,start_yaw_rad,truth_map_yaml,truth_registration_id,truth_to_map_x_m,truth_to_map_y_m,truth_to_map_yaw_rad,method,runtime_adapter,strategy,coverage_objective,condition,replicate_seed,randomization_seed,max_duration_s,max_distance_m,max_decisions,goal_timeout_s,run_output_dir,evidence_tier,formal_result_eligible,eligibility_reasons,source_tree_sha256,world_bundle_sha256,world_sdf_sha256,method_config_sha256,condition_config_sha256,shared_stack_sha256,world_registry_sha256,run_config_sha256
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_paired_multiseed_20260802,gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_277__order_01__sstg,gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_277,1,1,gazebo_harmonic,dev_corridor_01,corridor_alcoves,development,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/world.sdf,dev_corridor_01,start_west,-6.5,0,0,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/evaluation/truth_map.yaml,dev_corridor_01:start_west:inverse_spawn_pose,6.5,0,0,sstg,sstg_policy,sstg,joint,nominal,277,1064,240,35,100,90,system_sim_outputs/runs/gazebo_stage1_four_family_paired_multiseed_20260802/gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_277__order_01__sstg,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:frontier_mrtsp_dp_external:development_distance_transition_actionbag_shutdown_e2e_valid|method_not_formal_eligible:frontier_mrtsp_dp_external|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,5380cddcbe0214517ac34f896d44e01e39dcd33f8ca6fccc48f862b5c25eeeba,96bda98118d55b9649f672fe459d4ee7723a158b68536502661708aec3cd122c,ab62d145858292df9e0ab87b585c055704b358180c07fe43d59328579606876b,35cb7a94af3e8c4502252c1a1c0770ea3d81ca2d67464b078b310657761b5c79,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,51cdd271f4befffd940677c916165d709deab6c93cdc5078617cd36687680e83,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,02ebb429fd5bd51e311ab1a5502aec1152af1ff40d82fb026cf9ff05643dd30c
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_paired_multiseed_20260802,gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_277__order_02__frontier_mrtsp_dp_external,gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_277,1,2,gazebo_harmonic,dev_corridor_01,corridor_alcoves,development,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/world.sdf,dev_corridor_01,start_west,-6.5,0,0,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/evaluation/truth_map.yaml,dev_corridor_01:start_west:inverse_spawn_pose,6.5,0,0,frontier_mrtsp_dp_external,frontier_mrtsp_dp_external,frontier_mrtsp_dp_external,joint,nominal,277,1064,240,35,100,90,system_sim_outputs/runs/gazebo_stage1_four_family_paired_multiseed_20260802/gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_277__order_02__frontier_mrtsp_dp_external,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:frontier_mrtsp_dp_external:development_distance_transition_actionbag_shutdown_e2e_valid|method_not_formal_eligible:frontier_mrtsp_dp_external|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,5380cddcbe0214517ac34f896d44e01e39dcd33f8ca6fccc48f862b5c25eeeba,96bda98118d55b9649f672fe459d4ee7723a158b68536502661708aec3cd122c,ab62d145858292df9e0ab87b585c055704b358180c07fe43d59328579606876b,308b1796c4543e1262c8729a23c6019e21e88896450f605de8515093bb6bfc70,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,51cdd271f4befffd940677c916165d709deab6c93cdc5078617cd36687680e83,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,5ace8e5ab662f4c04fdff51359898f2120f6921a2f669579e5441cc7f957078b
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_paired_multiseed_20260802,gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_283__order_01__frontier_mrtsp_dp_external,gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_283,2,1,gazebo_harmonic,dev_corridor_01,corridor_alcoves,development,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/world.sdf,dev_corridor_01,start_west,-6.5,0,0,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/evaluation/truth_map.yaml,dev_corridor_01:start_west:inverse_spawn_pose,6.5,0,0,frontier_mrtsp_dp_external,frontier_mrtsp_dp_external,frontier_mrtsp_dp_external,joint,nominal,283,1064,240,35,100,90,system_sim_outputs/runs/gazebo_stage1_four_family_paired_multiseed_20260802/gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_283__order_01__frontier_mrtsp_dp_external,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:frontier_mrtsp_dp_external:development_distance_transition_actionbag_shutdown_e2e_valid|method_not_formal_eligible:frontier_mrtsp_dp_external|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,5380cddcbe0214517ac34f896d44e01e39dcd33f8ca6fccc48f862b5c25eeeba,96bda98118d55b9649f672fe459d4ee7723a158b68536502661708aec3cd122c,ab62d145858292df9e0ab87b585c055704b358180c07fe43d59328579606876b,308b1796c4543e1262c8729a23c6019e21e88896450f605de8515093bb6bfc70,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,51cdd271f4befffd940677c916165d709deab6c93cdc5078617cd36687680e83,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,7320e4eaef4a0a370cefe47a01abc3e1d1b381979193b77daee8d2c40c474a52
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_paired_multiseed_20260802,gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_283__order_02__sstg,gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_283,2,2,gazebo_harmonic,dev_corridor_01,corridor_alcoves,development,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/world.sdf,dev_corridor_01,start_west,-6.5,0,0,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/evaluation/truth_map.yaml,dev_corridor_01:start_west:inverse_spawn_pose,6.5,0,0,sstg,sstg_policy,sstg,joint,nominal,283,1064,240,35,100,90,system_sim_outputs/runs/gazebo_stage1_four_family_paired_multiseed_20260802/gazebo_stage1_four_family_paired_multiseed_20260802__dev_corridor_01__start_west__nominal__seed_283__order_02__sstg,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:frontier_mrtsp_dp_external:development_distance_transition_actionbag_shutdown_e2e_valid|method_not_formal_eligible:frontier_mrtsp_dp_external|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,5380cddcbe0214517ac34f896d44e01e39dcd33f8ca6fccc48f862b5c25eeeba,96bda98118d55b9649f672fe459d4ee7723a158b68536502661708aec3cd122c,ab62d145858292df9e0ab87b585c055704b358180c07fe43d59328579606876b,35cb7a94af3e8c4502252c1a1c0770ea3d81ca2d67464b078b310657761b5c79,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,51cdd271f4befffd940677c916165d709deab6c93cdc5078617cd36687680e83,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,75857fad54e833bd1579c4dac0641bc0da586bb8d6099135683be96b31935e8b
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_paired_multiseed_20260802,gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_277__order_01__frontier_mrtsp_dp_external,gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_277,3,1,gazebo_harmonic,dev_lab_01,dense_laboratory,development,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/world.sdf,dev_lab_01,start_southwest,-6.5,-4.7999999999999998,0,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/evaluation/truth_map.yaml,dev_lab_01:start_southwest:inverse_spawn_pose,6.5,4.7999999999999998,0,frontier_mrtsp_dp_external,frontier_mrtsp_dp_external,frontier_mrtsp_dp_external,joint,nominal,277,1064,240,35,100,90,system_sim_outputs/runs/gazebo_stage1_four_family_paired_multiseed_20260802/gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_277__order_01__frontier_mrtsp_dp_external,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:frontier_mrtsp_dp_external:development_distance_transition_actionbag_shutdown_e2e_valid|method_not_formal_eligible:frontier_mrtsp_dp_external|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,5380cddcbe0214517ac34f896d44e01e39dcd33f8ca6fccc48f862b5c25eeeba,b78b3e1757bff38d2831cc0fe7a5da4fba88055a12635e317ac65785e592fbf5,8fecea2f50a24c1e458ebefe405abfa0a665ab24469c18915bdb2d174a6471d6,308b1796c4543e1262c8729a23c6019e21e88896450f605de8515093bb6bfc70,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,51cdd271f4befffd940677c916165d709deab6c93cdc5078617cd36687680e83,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,1e93a4a396ca691ccc55e71d4857468381d8c2a840303636ee6dc866350189c6
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_paired_multiseed_20260802,gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_277__order_02__sstg,gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_277,3,2,gazebo_harmonic,dev_lab_01,dense_laboratory,development,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/world.sdf,dev_lab_01,start_southwest,-6.5,-4.7999999999999998,0,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/evaluation/truth_map.yaml,dev_lab_01:start_southwest:inverse_spawn_pose,6.5,4.7999999999999998,0,sstg,sstg_policy,sstg,joint,nominal,277,1064,240,35,100,90,system_sim_outputs/runs/gazebo_stage1_four_family_paired_multiseed_20260802/gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_277__order_02__sstg,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:frontier_mrtsp_dp_external:development_distance_transition_actionbag_shutdown_e2e_valid|method_not_formal_eligible:frontier_mrtsp_dp_external|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,5380cddcbe0214517ac34f896d44e01e39dcd33f8ca6fccc48f862b5c25eeeba,b78b3e1757bff38d2831cc0fe7a5da4fba88055a12635e317ac65785e592fbf5,8fecea2f50a24c1e458ebefe405abfa0a665ab24469c18915bdb2d174a6471d6,35cb7a94af3e8c4502252c1a1c0770ea3d81ca2d67464b078b310657761b5c79,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,51cdd271f4befffd940677c916165d709deab6c93cdc5078617cd36687680e83,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,c7775336626e986ccb5354f0792359ebc5c713976a4dcf871dc37af93986ae4b
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_paired_multiseed_20260802,gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_283__order_01__sstg,gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_283,4,1,gazebo_harmonic,dev_lab_01,dense_laboratory,development,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/world.sdf,dev_lab_01,start_southwest,-6.5,-4.7999999999999998,0,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/evaluation/truth_map.yaml,dev_lab_01:start_southwest:inverse_spawn_pose,6.5,4.7999999999999998,0,sstg,sstg_policy,sstg,joint,nominal,283,1064,240,35,100,90,system_sim_outputs/runs/gazebo_stage1_four_family_paired_multiseed_20260802/gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_283__order_01__sstg,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:frontier_mrtsp_dp_external:development_distance_transition_actionbag_shutdown_e2e_valid|method_not_formal_eligible:frontier_mrtsp_dp_external|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,5380cddcbe0214517ac34f896d44e01e39dcd33f8ca6fccc48f862b5c25eeeba,b78b3e1757bff38d2831cc0fe7a5da4fba88055a12635e317ac65785e592fbf5,8fecea2f50a24c1e458ebefe405abfa0a665ab24469c18915bdb2d174a6471d6,35cb7a94af3e8c4502252c1a1c0770ea3d81ca2d67464b078b310657761b5c79,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,51cdd271f4befffd940677c916165d709deab6c93cdc5078617cd36687680e83,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,ee72048f552c5ef6f0f2bb398203cb4571810da91a006aa14660cbda83c07100
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_paired_multiseed_20260802,gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_283__order_02__frontier_mrtsp_dp_external,gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_283,4,2,gazebo_harmonic,dev_lab_01,dense_laboratory,development,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/world.sdf,dev_lab_01,start_southwest,-6.5,-4.7999999999999998,0,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/evaluation/truth_map.yaml,dev_lab_01:start_southwest:inverse_spawn_pose,6.5,4.7999999999999998,0,frontier_mrtsp_dp_external,frontier_mrtsp_dp_external,frontier_mrtsp_dp_external,joint,nominal,283,1064,240,35,100,90,system_sim_outputs/runs/gazebo_stage1_four_family_paired_multiseed_20260802/gazebo_stage1_four_family_paired_multiseed_20260802__dev_lab_01__start_southwest__nominal__seed_283__order_02__frontier_mrtsp_dp_external,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:frontier_mrtsp_dp_external:development_distance_transition_actionbag_shutdown_e2e_valid|method_not_formal_eligible:frontier_mrtsp_dp_external|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,5380cddcbe0214517ac34f896d44e01e39dcd33f8ca6fccc48f862b5c25eeeba,b78b3e1757bff38d2831cc0fe7a5da4fba88055a12635e317ac65785e592fbf5,8fecea2f50a24c1e458ebefe405abfa0a665ab24469c18915bdb2d174a6471d6,308b1796c4543e1262c8729a23c6019e21e88896450f605de8515093bb6bfc70,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,51cdd271f4befffd940677c916165d709deab6c93cdc5078617cd36687680e83,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,0b389fb3ce858f8f6686a9243c4c74db0a237d53f6836be380f70accde763b89
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_paired_multiseed_20260802,gazebo_stage1_four_family_paired_multiseed_20260802__dev_office_01__start_southwest__nominal__seed_277__order_01__frontier_mrtsp_dp_external,gazebo_stage1_four_family_paired_multiseed_20260802__dev_office_01__start_southwest__nominal__seed_277,5,1,gazebo_harmonic,dev_office_01,multi_room_office,development,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/world.sdf,dev_office_01,start_southwest,-6.5,-4.5,0,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/evaluation/truth_map.yaml,dev_office_01:start_southwest:inverse_spawn_pose,6.5,4.5,0,frontier_mrtsp_dp_external,frontier_mrtsp_dp_external,frontier_mrtsp_dp_external,joint,nominal,277,1064,240,35,100,90,system_sim_outputs/runs/gazebo_stage1_four_family_paired_multiseed_20260802/gazebo_stage1_four_family_paired_multiseed_20260802__dev_office_01__start_southwest__nominal__seed_277__order_01__frontier_mrtsp_dp_external,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:frontier_mrtsp_dp_external:development_distance_transition_actionbag_shutdown_e2e_valid|method_not_formal_eligible:frontier_mrtsp_dp_external|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,5380cddcbe0214517ac34f896d44e01e39dcd33f8ca6fccc48f862b5c25eeeba,f2a92c4f4f87106b7c05aa0d7257f2dc1f444dd0893f066b240131c3f75e0ddf,1e84f9cb4637b2a85b67b86b0f6a7cd9c0a50942434681337bb19cfd86087d0d,308b1796c4543e1262c8729a23c6019e21e88896450f605de8515093bb6bfc70,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,51cdd271f4befffd940677c916165d709deab6c93cdc5078617cd36687680e83,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,2f227bebdc1cff7b1bb2673c23d77e75b7ec71dbecf8abb6dc0cd337395818df
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_paired_multiseed_20260802,gazebo_stage1_four_family_paired_multiseed_20260802__dev_office_01__start_southwest__nominal__seed_277__order_02__sstg,gazebo_stage1_four_family_paired_multiseed_20260802__dev_office_01__start_southwest__nominal__seed_277,5,2,gazebo_harmonic,dev_office_01,multi_room_office,development,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/world.sdf,dev_office_01,start_southwest,-6.5,-4.5,0,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/evaluation/truth_map.yaml,dev_office_01:start_southwest:inverse_spawn_pose,6.5,4.5,0,sstg,sstg_policy,sstg,joint,nominal,277,1064,240,35,100,90,system_sim_outputs/runs/gazebo_stage1_four_family_paired_multiseed_20260802/gazebo_stage1_four_family_paired_multiseed_20260802__dev_office_01__start_southwest__nominal__seed_277__order_02__sstg,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:frontier_mrtsp_dp_external:development_distance_transition_actionbag_shutdown_e2e_valid|method_not_formal_eligible:frontier_mrtsp_dp_external|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,5380cddcbe0214517ac34f896d44e01e39dcd33f8ca6fccc48f862b5c25eeeba,f2a92c4f4f87106b7c05aa0d7257f2dc1f444dd0893f066b240131c3f75e0ddf,1e84f9cb4637b2a85b67b86b0f6a7cd9c0a50942434681337bb19cfd86087d0d,35cb7a94af3e8c4502252c1a1c0770ea3d81ca2d67464b078b310657761b5c79,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,51cdd271f4befffd940677c916165d709deab6c93cdc5078617cd36687680e83,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,18f9d1183301a31d65d56336d639529ef29ce7dfa6ed58111e0d435e65408188
